lag,period,horizon,target_pct,target_label,n,target_hits,target_hit_rate,target_hit_wilson_lower_95,target_hit_wilson_upper_95,mean_realized_return,median_realized_return,entry_dates,codes,events,retention_vs_parent_crosses
6,year_2023,T+20,2,target_2pct,3389,2561,0.7556801416347005,0.7409292646878691,0.7698520225965122,-0.003777883685243082,0.02,213,1186,18873,0.33487703609070585
6,year_2023,T+20,3,target_3pct,3389,2280,0.6727648273827088,0.6567796802997589,0.6883587429027863,-0.0037504565836202477,0.03,213,1186,18873,0.33487703609070585
6,year_2023,T+20,4,target_4pct,3389,2029,0.5987016819120684,0.5820960329207036,0.6150838177389911,-0.003262223384030342,0.04,213,1186,18873,0.33487703609070585
6,year_2023,T+20,5,target_5pct,3389,1775,0.523753319563293,0.5069208172097026,0.5405320317532433,-0.0037452167145143717,0.05,213,1186,18873,0.33487703609070585
6,year_2023,T+20,6,target_6pct,3389,1571,0.4635585718501033,0.4468199453439496,0.48037972115389094,-0.0035355590944669726,0.0174603174603174,213,1186,18873,0.33487703609070585
6,year_2023,T+20,7,target_7pct,3389,1375,0.40572440247860725,0.38930799717241643,0.42235429793738166,-0.003607448418113221,0.006134969325153339,213,1186,18873,0.33487703609070585
6,year_2023,T+20,8,target_8pct,3389,1213,0.3579226910593095,0.3419517112842806,0.3742154095149927,-0.003142080554583462,0.0012755102040815647,213,1186,18873,0.33487703609070585
6,year_2023,T+20,9,target_9pct,3389,1053,0.31071112422543523,0.29535165495374366,0.3264992443042705,-0.00356928485878267,-0.0031055900621117516,213,1186,18873,0.33487703609070585
6,year_2023,T+20,10,target_10pct,3389,937,0.2764827382708764,0.26168382188622513,0.29178781675437626,-0.003428113117011107,-0.005228758169934622,213,1186,18873,0.33487703609070585
6,year_2023,T+20,11,target_11pct,3389,829,0.2446149306580112,0.23043681992709011,0.2593713691731614,-0.0035183581819740093,-0.00800800800800805,213,1186,18873,0.33487703609070585
6,year_2023,T+20,12,target_12pct,3389,726,0.21422248450870462,0.20073662738641546,0.22835549409665049,-0.003730917446689739,-0.009345794392523477,213,1186,18873,0.33487703609070585
6,year_2023,T+20,13,target_13pct,3389,640,0.1888462673354972,0.17602403778627823,0.20237311461836097,-0.004052830481795022,-0.01122694466720131,213,1186,18873,0.33487703609070585
6,year_2023,T+20,14,target_14pct,3389,559,0.16494541162584833,0.15283076452009073,0.17781880072928608,-0.004338413290268772,-0.012232415902140747,213,1186,18873,0.33487703609070585
6,year_2023,T+20,15,target_15pct,3389,498,0.14694600177043377,0.13542549162921902,0.15926601415755276,-0.004429585778478325,-0.012836438923395366,213,1186,18873,0.33487703609070585
6,year_2023,T+20,16,target_16pct,3389,449,0.13248745942755974,0.12148825631054819,0.14431890662921296,-0.004163379763836449,-0.0130368098159509,213,1186,18873,0.33487703609070585
6,year_2023,T+20,17,target_17pct,3389,389,0.1147831218648569,0.10448441677182634,0.12595416308996266,-0.004508716504241397,-0.013267813267813233,213,1186,18873,0.33487703609070585
6,year_2023,T+20,18,target_18pct,3389,335,0.09884921805842431,0.08925025018090028,0.10935660491071376,-0.004810942947054132,-0.013405797101449402,213,1186,18873,0.33487703609070585
6,year_2023,T+20,19,target_19pct,3389,300,0.08852168781351431,0.07941812662264404,0.09855705500681959,-0.004738515910482306,-0.013476473676540035,213,1186,18873,0.33487703609070585
6,year_2023,T+20,20,target_20pct,3389,265,0.0781941575686043,0.06962511614694428,0.08771839202036891,-0.004923875151301546,-0.0135225005542009,213,1186,18873,0.33487703609070585
