lag,period,horizon,target_pct,target_label,n,target_hits,target_hit_rate,target_hit_wilson_lower_95,target_hit_wilson_upper_95,mean_realized_return,median_realized_return,entry_dates,codes,events,retention_vs_parent_crosses
6,year_2021,T+20,1,target_1pct,2206,1984,0.899365367180417,0.8861084511274141,0.9112337656178947,-0.0009273694837382344,0.01,219,931,18868,0.33482396365701306
6,year_2021,T+20,2,target_2pct,2206,1874,0.8495013599274706,0.8339732569059961,0.8638143130266182,0.003305214565169186,0.02,219,931,18868,0.33482396365701306
6,year_2021,T+20,3,target_3pct,2206,1753,0.7946509519492294,0.7772883065955959,0.8109891518430543,0.006726612271463021,0.03,219,931,18868,0.33482396365701306
6,year_2021,T+20,4,target_4pct,2206,1603,0.7266545784224842,0.7076742576912551,0.7448468641846295,0.008391700234434583,0.04,219,931,18868,0.33482396365701306
6,year_2021,T+20,5,target_5pct,2206,1476,0.6690843155031732,0.6491692790858351,0.6884114778335749,0.010110116675229115,0.05,219,931,18868,0.33482396365701306
6,year_2021,T+20,6,target_6pct,2206,1359,0.6160471441523119,0.5955665762159726,0.6361242381844804,0.012162483107544,0.06,219,931,18868,0.33482396365701306
6,year_2021,T+20,7,target_7pct,2206,1239,0.5616500453309157,0.5408545771838571,0.5822311679663835,0.01341443826432611,0.07,219,931,18868,0.33482396365701306
6,year_2021,T+20,8,target_8pct,2206,1132,0.5131459655485041,0.4922832137156979,0.5339630113531035,0.015168170309854111,0.08,219,931,18868,0.33482396365701306
6,year_2021,T+20,9,target_9pct,2206,1029,0.46645512239347237,0.44571323192610734,0.48731364203626176,0.01613825110798665,0.043499521632826665,219,931,18868,0.33482396365701306
6,year_2021,T+20,10,target_10pct,2206,943,0.4274705349048051,0.40696964150967546,0.4482235994900414,0.01715540215695719,0.03153391757679269,219,931,18868,0.33482396365701306
6,year_2021,T+20,11,target_11pct,2206,883,0.400271985494107,0.38001640984741375,0.420874296527197,0.0188327124337657,0.026866479068564875,219,931,18868,0.33482396365701306
6,year_2021,T+20,12,target_12pct,2206,808,0.36627379873073435,0.3464172681842786,0.38659526990894943,0.01929443388624634,0.022716921518729283,219,931,18868,0.33482396365701306
6,year_2021,T+20,13,target_13pct,2206,748,0.33907524932003624,0.3196151826015634,0.3590948208665584,0.02040546887716238,0.018449171376999862,219,931,18868,0.33482396365701306
6,year_2021,T+20,14,target_14pct,2206,681,0.3087035358114234,0.28977223203489466,0.32829994110185867,0.020926358492957105,0.01631157774093861,219,931,18868,0.33482396365701306
6,year_2021,T+20,15,target_15pct,2206,622,0.28195829555757024,0.2635730822846061,0.3011015984707928,0.021586064136175833,0.013862509708312043,219,931,18868,0.33482396365701306
6,year_2021,T+20,16,target_16pct,2206,556,0.25203989120580234,0.23436286478128382,0.2705790278864983,0.021757080157035473,0.012706789087283954,219,931,18868,0.33482396365701306
6,year_2021,T+20,17,target_17pct,2206,507,0.22982774252039892,0.2127494660955173,0.24784535662842822,0.022286826047537595,0.012319798137122029,219,931,18868,0.33482396365701306
6,year_2021,T+20,18,target_18pct,2206,466,0.2112420670897552,0.19471750553762743,0.22877058519249552,0.022965894436020106,0.0116999123347864,219,931,18868,0.33482396365701306
6,year_2021,T+20,19,target_19pct,2206,419,0.1899365367180417,0.17411209697964897,0.2068390082941408,0.023268389271376644,0.011315376567298197,219,931,18868,0.33482396365701306
6,year_2021,T+20,20,target_20pct,2206,377,0.17089755213055305,0.15576474008451557,0.18717459095169992,0.023312966741840916,0.01117414571130837,219,931,18868,0.33482396365701306
6,year_2022,T+20,1,target_1pct,3000,2644,0.8813333333333333,0.8692701997089107,0.8924210958640649,-0.007431480793893413,0.01,199,1172,18868,0.33482396365701306
6,year_2022,T+20,2,target_2pct,3000,2484,0.828,0.8140782569821737,0.8410827874617144,-0.005289434186322387,0.02,199,1172,18868,0.33482396365701306
6,year_2022,T+20,3,target_3pct,3000,2295,0.765,0.7494944078979346,0.779827777399719,-0.00411128429054532,0.03,199,1172,18868,0.33482396365701306
6,year_2022,T+20,4,target_4pct,3000,2129,0.7096666666666667,0.6931635188486057,0.7256335309026196,-0.00273995145149806,0.04,199,1172,18868,0.33482396365701306
6,year_2022,T+20,5,target_5pct,3000,1961,0.6536666666666666,0.6364535803362005,0.6704867057294828,-0.0014092331602319514,0.05,199,1172,18868,0.33482396365701306
6,year_2022,T+20,6,target_6pct,3000,1794,0.598,0.5803402132777955,0.6154091231719028,-0.0007672269931567502,0.06,199,1172,18868,0.33482396365701306
6,year_2022,T+20,7,target_7pct,3000,1641,0.547,0.5291381378143153,0.5647416459931931,-0.00016034028533412048,0.07,199,1172,18868,0.33482396365701306
6,year_2022,T+20,8,target_8pct,3000,1503,0.501,0.4831179314422122,0.5188795107664581,0.000819713881178862,0.08,199,1172,18868,0.33482396365701306
6,year_2022,T+20,9,target_9pct,3000,1383,0.461,0.44322345823273557,0.4788762956291193,0.00206289899140804,0.03857603368357765,199,1172,18868,0.33482396365701306
6,year_2022,T+20,10,target_10pct,3000,1267,0.42233333333333334,0.4047685916764228,0.4400967301168436,0.0021821179789671195,0.0248892091285301,199,1172,18868,0.33482396365701306
6,year_2022,T+20,11,target_11pct,3000,1148,0.38266666666666665,0.36543455661420526,0.40019889090180233,0.0018484708307234617,0.01725484928869636,199,1172,18868,0.33482396365701306
6,year_2022,T+20,12,target_12pct,3000,1055,0.3516666666666667,0.3347794656396692,0.3689332734075563,0.0025417291412413285,0.01098027484680375,199,1172,18868,0.33482396365701306
