lag,horizon,target_pct,n,target_hits,target_hit_rate,mean_realized_return,median_realized_return,entry_dates,codes
4,T+20,8,19035,9008,0.4732335172051484,0.0075243520060298595,0.041005291005290934,1161,2436
6,T+20,10,18390,7157,0.389178901576944,0.007425251752339303,0.02012156868947268,1161,2380
3,T+20,10,19222,7317,0.3806575798564145,0.007395132110512618,0.01890453215961785,1158,2460
5,T+20,10,18561,7192,0.3874791228920856,0.007277057051189352,0.020000000000000018,1157,2412
1,T+20,9,19753,8256,0.4179618285830001,0.007243826520184834,0.02397660818713443,1159,2497
0,T+20,12,20028,6142,0.3066706610744957,0.007175402362725302,0.007521763047765306,1161,2519
2,T+20,9,19491,8172,0.41927043250731105,0.0071123596937512626,0.0243531202435312,1161,2475
7,T+20,9,18246,7852,0.4303408966348789,0.007060510343056667,0.026450653723380957,1158,2368
6,T+20,9,18390,7874,0.4281674823273518,0.0068897703378073775,0.02763376152636632,1161,2380
0,T+20,11,20028,6770,0.33802676253245456,0.0066587627870435245,0.010676010691327842,1161,2519
5,T+20,9,18561,7916,0.42648564193739563,0.006619254683293408,0.026143790849673332,1157,2412
3,T+20,9,19222,8059,0.4192591821870773,0.006577123931950402,0.024523752527021436,1158,2460
7,T+20,8,18246,8632,0.4730899923270854,0.006349813111979313,0.03924781907472075,1158,2368
4,T+20,7,19035,9880,0.5190438665615971,0.006333183953427169,0.07,1161,2436
2,T+20,8,19491,9005,0.46200810630547434,0.006192491650394364,0.03419593345656202,1161,2475
1,T+20,8,19753,9066,0.45896825798612867,0.0061382813067743175,0.033462486791123514,1159,2497
6,T+20,8,18390,8672,0.4715606307775965,0.005980806122168988,0.03959095792470124,1161,2380
0,T+20,10,20028,7441,0.3715298581985221,0.005949903702390861,0.014241790054026149,1161,2519
3,T+20,8,19222,8852,0.4605139943814379,0.005660296686714995,0.03477748457235519,1158,2460
5,T+20,8,18561,8668,0.4670007003932978,0.005653470301463247,0.03659574468085114,1157,2412
0,T+20,9,20028,8235,0.41117435590173756,0.005416984592337244,0.020455429254694235,1161,2519
7,T+20,7,18246,9492,0.52022361065439,0.005403470029880469,0.07,1158,2368
1,T+20,7,19753,10015,0.5070115931757202,0.005350065216071375,0.07,1159,2497
2,T+20,7,19491,9928,0.5093632958801498,0.005171716749765925,0.07,1161,2475
4,T+20,6,19035,10816,0.5682164433937483,0.004971536803213388,0.06,1161,2436
6,T+20,7,18390,9562,0.5199564980967918,0.004953995950001567,0.07,1161,2380
0,T+20,8,20028,9124,0.45556221290193727,0.004923155873418449,0.031546102619111394,1161,2519
3,T+20,7,19222,9798,0.5097284361668921,0.004881298003403802,0.07,1158,2460
7,T+20,6,18246,10454,0.5729474953414447,0.004594045139221485,0.06,1158,2368
5,T+20,7,18561,9526,0.5132266580464414,0.004589797106358555,0.07,1157,2412
1,T+20,6,19753,11031,0.5584468182048297,0.004246899574475766,0.06,1159,2497
2,T+20,6,19491,10955,0.5620542814632394,0.004184447550950622,0.06,1161,2475
6,T+20,6,18390,10507,0.5713431212615552,0.003845004113503605,0.06,1161,2380
0,T+20,7,20028,10024,0.5004993009786299,0.003774431530448166,0.07,1161,2519
3,T+20,6,19222,10766,0.5600873998543335,0.00368250481554247,0.06,1158,2460
4,T+20,5,19035,11859,0.62301024428684,0.003616599204749978,0.05,1161,2436
5,T+20,6,18561,10444,0.562685200150854,0.0033895766683493082,0.06,1157,2412
7,T+20,5,18246,11509,0.630768387591801,0.003249892777764551,0.05,1158,2368
2,T+20,5,19491,12063,0.6189010312451901,0.0030983511613048922,0.05,1161,2475
1,T+20,5,19753,12118,0.6134764339593985,0.0030424696887077912,0.05,1159,2497
0,T+20,6,20028,11097,0.5540742959856201,0.0030324460548301433,0.06,1161,2519
6,T+20,5,18390,11535,0.6272430668841762,0.002599276850248968,0.05,1161,2380
3,T+20,5,19222,11851,0.6165331391114348,0.002564753558621591,0.05,1158,2460
5,T+20,5,18561,11497,0.6194170572706212,0.002350217880051207,0.05,1157,2412
4,T+20,4,19035,13027,0.6843708957184135,0.0022275551180830295,0.04,1161,2436
0,T+20,5,20028,12253,0.6117934891152387,0.002110795277797401,0.05,1161,2519
7,T+20,4,18246,12620,0.6916584456867259,0.002093960513681119,0.04,1158,2368
1,T+20,4,19753,13348,0.6757454563863717,0.0020704932759873346,0.04,1159,2497
2,T+20,4,19491,13225,0.6785182904930481,0.001816680749429644,0.04,1161,2475
3,T+20,4,19222,13038,0.6782852980959317,0.0013375492845702922,0.04,1158,2460
6,T+20,4,18390,12641,0.6873844480696031,0.0012183784088738356,0.04,1161,2380
5,T+20,4,18561,12626,0.6802435213619956,0.0010214113245769509,0.04,1157,2412
0,T+20,4,20028,13430,0.6705612142999801,0.0008564666454696452,0.04,1161,2519
7,T+20,3,18246,13800,0.7563301545544229,0.0007145640675234583,0.03,1158,2368
1,T+20,3,19753,14618,0.7400394876727586,0.0006478500127897855,0.03,1159,2497
2,T+20,3,19491,14532,0.7455748807141758,0.0006334758484484301,0.03,1161,2475
4,T+20,3,19035,14167,0.744260572629367,2.835762313720707e-05,0.03,1161,2436
3,T+20,3,19222,14299,0.7438872125689314,-7.614101332034624e-05,0.03,1158,2460
0,T+20,3,20028,14786,0.7382664270021969,-0.00029172074637649417,0.03,1161,2519
