lag,period,horizon,target_pct,target_label,n,target_hits,target_hit_rate,target_hit_wilson_lower_95,target_hit_wilson_upper_95,mean_target_zero_return,entry_dates,codes,events,retention_vs_parent_crosses
3,full_period,T+1,5,target_5pct,19399,2794,0.14402804268261252,0.13915745352062492,0.14903959077210385,0.007201402134130626,1170,2473,19399,0.3442468767745599
3,full_period,T+1,6,target_6pct,19399,2020,0.1041290788184958,0.09990908247317527,0.10850583341213506,0.006247744729109748,1170,2473,19399,0.3442468767745599
3,full_period,T+1,7,target_7pct,19399,1461,0.07531316047218929,0.07168302601939405,0.07911146379389186,0.005271921233053251,1170,2473,19399,0.3442468767745599
3,full_period,T+1,8,target_8pct,19399,1048,0.0540234032682097,0.05092954423562754,0.0572938615566457,0.004321872261456776,1170,2473,19399,0.3442468767745599
3,full_period,T+1,9,target_9pct,19399,754,0.03886798288571576,0.03623811417572765,0.041680452143960295,0.003498118459714418,1170,2473,19399,0.3442468767745599
3,full_period,T+1,10,target_10pct,19399,561,0.028919016444146607,0.026652447576177116,0.03137212548429667,0.002891901644414661,1170,2473,19399,0.3442468767745599
3,full_period,T+1,11,target_11pct,19399,425,0.021908345791020155,0.019941063620827145,0.024064944241443915,0.002409918037012217,1170,2473,19399,0.3442468767745599
3,full_period,T+1,12,target_12pct,19399,320,0.016495695654415176,0.014796627814300113,0.0183862230934762,0.001979483478529821,1170,2473,19399,0.3442468767745599
3,full_period,T+1,13,target_13pct,19399,241,0.01242332078973143,0.01095829523359982,0.01408141853698521,0.001615031702665086,1170,2473,19399,0.3442468767745599
3,full_period,T+1,14,target_14pct,19399,180,0.009278828805608536,0.008023388608595647,0.010728586359854336,0.001299036032785195,1170,2473,19399,0.3442468767745599
3,full_period,T+1,15,target_15pct,19399,129,0.006649827310686118,0.0055997277572662745,0.007895285261857687,0.0009974740966029177,1170,2473,19399,0.3442468767745599
3,full_period,T+1,16,target_16pct,19399,96,0.004948708696324553,0.004054474119232157,0.006038975285622028,0.0007917933914119285,1170,2473,19399,0.3442468767745599
3,full_period,T+1,17,target_17pct,19399,71,0.003659982473323367,0.0029028877020265058,0.0046136195708051195,0.0006221970204649724,1170,2473,19399,0.3442468767745599
3,full_period,T+1,18,target_18pct,19399,54,0.002783648641682561,0.002134232178953276,0.003629954444103009,0.000501056755502861,1170,2473,19399,0.3442468767745599
3,full_period,T+1,19,target_19pct,19399,41,0.0021135110057219444,0.0015584137109014564,0.002865763003503098,0.00040156709108716946,1170,2473,19399,0.3442468767745599
3,full_period,T+1,20,target_20pct,19399,32,0.0016495695654415176,0.0011687581363982985,0.0023277194104781352,0.00032991391308830357,1170,2473,19399,0.3442468767745599
3,full_period,T+2,1,target_1pct,19399,12293,0.633692458374143,0.6268866250246239,0.6404453517513964,0.00633692458374143,1170,2473,19399,0.3442468767745599
3,full_period,T+2,2,target_2pct,19399,9564,0.49301510387133357,0.4859816985086904,0.5000512751357474,0.009860302077426672,1170,2473,19399,0.3442468767745599
3,full_period,T+2,3,target_3pct,19399,7305,0.37656580236094644,0.36977247764530896,0.38340800494957045,0.011296974070828393,1170,2473,19399,0.3442468767745599
3,full_period,T+2,4,target_4pct,19399,5486,0.2827980823753802,0.27650396037098063,0.28917821269793736,0.011311923295015206,1170,2473,19399,0.3442468767745599
3,full_period,T+2,5,target_5pct,19399,4136,0.21320686633331615,0.2075002941768198,0.2190270037628799,0.010660343316665807,1170,2473,19399,0.3442468767745599
3,full_period,T+2,6,target_6pct,19399,3129,0.16129697407082838,0.15618823935359896,0.16653982950823207,0.009677818444249702,1170,2473,19399,0.3442468767745599
3,full_period,T+2,7,target_7pct,19399,2422,0.12485179648435486,0.12027431618563346,0.1295778291825996,0.00873962575390484,1170,2473,19399,0.3442468767745599
3,full_period,T+2,8,target_8pct,19399,1849,0.09531419145316769,0.09126162694268003,0.099527004759596,0.007625135316253416,1170,2473,19399,0.3442468767745599
3,full_period,T+2,9,target_9pct,19399,1425,0.07345739471106758,0.06986996422307559,0.07721372892009781,0.006611165523996081,1170,2473,19399,0.3442468767745599
3,full_period,T+2,10,target_10pct,19399,1099,0.05665240476313212,0.05348611667001757,0.0599942510715817,0.005665240476313213,1170,2473,19399,0.3442468767745599
3,full_period,T+2,11,target_11pct,19399,851,0.043868240630960356,0.04107537897099392,0.04684172282094155,0.00482550646940564,1170,2473,19399,0.3442468767745599
3,full_period,T+2,12,target_12pct,19399,684,0.03525954946131244,0.03275475619629605,0.03794837215372873,0.004231145935357492,1170,2473,19399,0.3442468767745599
3,full_period,T+2,13,target_13pct,19399,547,0.028197329759265942,0.02595961856560216,0.030621866900938995,0.0036656528687045724,1170,2473,19399,0.3442468767745599
3,full_period,T+2,14,target_14pct,19399,433,0.022320738182380534,0.020334540462063882,0.0244960888824544,0.0031249033455332752,1170,2473,19399,0.3442468767745599
3,full_period,T+2,15,target_15pct,19399,334,0.01721738233929584,0.01548011847864969,0.01914582002305926,0.0025826073508943763,1170,2473,19399,0.3442468767745599
3,full_period,T+2,16,target_16pct,19399,263,0.013557399865972472,0.012023639038941053,0.015283783807823827,0.0021691839785555954,1170,2473,19399,0.3442468767745599
3,full_period,T+2,17,target_17pct,19399,217,0.011186143615650292,0.009799902548136907,0.012765946775706466,0.0019016444146605497,1170,2473,19399,0.3442468767745599
3,full_period,T+2,18,target_18pct,19399,168,0.008660240218567967,0.007450131120496882,0.010064911624582274,0.001558843239342234,1170,2473,19399,0.3442468767745599
3,full_period,T+2,19,target_19pct,19399,133,0.0068560235063663075,0.005788474414183241,0.008118849346064331,0.0013026444662095984,1170,2473,19399,0.3442468767745599
3,full_period,T+2,20,target_20pct,19399,105,0.00541265013660498,0.004473536206123904,0.006547612366258401,0.001082530027320996,1170,2473,19399,0.3442468767745599
3,full_period,T+3,1,target_1pct,19394,13234,0.6823759925750232,0.6757881669064859,0.6888915817929777,0.006823759925750232,1169,2473,19399,0.3442468767745599
3,full_period,T+3,2,target_2pct,19394,10702,0.5518201505620295,0.5448113910573555,0.5588083848665801,0.01103640301124059,1169,2473,19399,0.3442468767745599
3,full_period,T+3,3,target_3pct,19394,8423,0.4343095802825616,0.427347187828506,0.4412979917465247,0.013029287408476848,1169,2473,19399,0.3442468767745599
3,full_period,T+3,4,target_4pct,19394,6576,0.3390739403939363,0.3324437591858204,0.34576786204939997,0.013562957615757452,1169,2473,19399,0.3442468767745599
3,full_period,T+3,5,target_5pct,19394,5140,0.2650304217799319,0.25886577597917193,0.27128813557766845,0.013251521088996597,1169,2473,19399,0.3442468767745599
3,full_period,T+3,6,target_6pct,19394,4067,0.20970403217489944,0.20403225028819094,0.2154907960284673,0.012582241930493966,1169,2473,19399,0.3442468767745599
3,full_period,T+3,7,target_7pct,19394,3235,0.16680416623698052,0.16162339914837187,0.17211690729891868,0.011676291636588638,1169,2473,19399,0.3442468767745599
3,full_period,T+3,8,target_8pct,19394,2568,0.13241208621223058,0.12771453144904527,0.13725523714624008,0.010592966896978447,1169,2473,19399,0.3442468767745599
3,full_period,T+3,9,target_9pct,19394,2065,0.10647622976178199,0.10221277483784104,0.11089555366815108,0.009582860678560378,1169,2473,19399,0.3442468767745599
3,full_period,T+3,10,target_10pct,19394,1643,0.08471692275961637,0.08087960219426968,0.0887187308491345,0.008471692275961637,1169,2473,19399,0.3442468767745599
3,full_period,T+3,11,target_11pct,19394,1321,0.06811384964421986,0.06465284166676726,0.0717459213791172,0.0074925234608641846,1169,2473,19399,0.3442468767745599
3,full_period,T+3,12,target_12pct,19394,1091,0.05625451170465092,0.05309866046154813,0.059586124014679366,0.006750541404558111,1169,2473,19399,0.3442468767745599
3,full_period,T+3,13,target_13pct,19394,903,0.04656079199752501,0.0436841552605726,0.04961702934132663,0.0060529029596782516,1169,2473,19399,0.3442468767745599
3,full_period,T+3,14,target_14pct,19394,741,0.03820769310095906,0.03559988691463664,0.04099840843385204,0.005349077034134269,1169,2473,19399,0.3442468767745599
3,full_period,T+3,15,target_15pct,19394,617,0.03181396308136537,0.02943511065920472,0.03437825711259935,0.004772094462204806,1169,2473,19399,0.3442468767745599
3,full_period,T+3,16,target_16pct,19394,509,0.02624523048365474,0.024087373927951485,0.028590734341578876,0.004199236877384758,1169,2473,19399,0.3442468767745599
3,full_period,T+3,17,target_17pct,19394,431,0.022223368051974838,0.020241375866083513,0.02439460054069362,0.0037779725688357225,1169,2473,19399,0.3442468767745599
3,full_period,T+3,18,target_18pct,19394,364,0.01876869134783954,0.016951844769194663,0.020776146575986754,0.003378364442611117,1169,2473,19399,0.3442468767745599
3,full_period,T+3,19,target_19pct,19394,293,0.015107765288233474,0.013484492046253412,0.01692309721872955,0.00287047540476436,1169,2473,19399,0.3442468767745599
3,full_period,T+3,20,target_20pct,19394,234,0.012065587295039704,0.010622736126659121,0.013701702113933584,0.002413117459007941,1169,2473,19399,0.3442468767745599
3,full_period,T+4,1,target_1pct,19394,13921,0.7177993193771269,0.7114223035459136,0.7240900680985687,0.0071779931937712696,1169,2473,19399,0.3442468767745599
3,full_period,T+4,2,target_2pct,19394,11581,0.5971434464267299,0.5902218796822186,0.6040265360796669,0.011942868928534599,1169,2473,19399,0.3442468767745599
3,full_period,T+4,3,target_3pct,19394,9398,0.4845828606785604,0.47755287760058013,0.4916189502588658,0.014537485820356811,1169,2473,19399,0.3442468767745599
3,full_period,T+4,4,target_4pct,19394,7550,0.38929565845106734,0.3824558013998736,0.3961793638651113,0.015571826338042693,1169,2473,19399,0.3442468767745599
3,full_period,T+4,5,target_5pct,19394,6067,0.31282870991028155,0.3063409030449895,0.31939065257303356,0.01564143549551408,1169,2473,19399,0.3442468767745599
3,full_period,T+4,6,target_6pct,19394,4904,0.25286170980715683,0.24679369850068258,0.2590276089585967,0.01517170258842941,1169,2473,19399,0.3442468767745599
3,full_period,T+4,7,target_7pct,19394,3960,0.2041868619160565,0.19857232548411158,0.20991856558492364,0.014293080334123957,1169,2473,19399,0.3442468767745599
3,full_period,T+4,8,target_8pct,19394,3228,0.16644322986490667,0.16126707718076863,0.17175149948396712,0.013315458389192535,1169,2473,19399,0.3442468767745599
3,full_period,T+4,9,target_9pct,19394,2641,0.13617613694957204,0.13142103889942397,0.14107534028536123,0.012255852325461484,1169,2473,19399,0.3442468767745599
3,full_period,T+4,10,target_10pct,19394,2142,0.1104465298545942,0.10611195901031494,0.11493539710377973,0.011044652985459421,1169,2473,19399,0.3442468767745599
3,full_period,T+4,11,target_11pct,19394,1736,0.08951222027431165,0.08557517616682529,0.09361185255909235,0.00984634423017428,1169,2473,19399,0.3442468767745599
3,full_period,T+4,12,target_12pct,19394,1447,0.07461070434154893,0.07099620063192766,0.07839369849994277,0.008953284520985871,1169,2473,19399,0.3442468767745599
3,full_period,T+4,13,target_13pct,19394,1223,0.06306074043518614,0.05972548162975246,0.06656906446036512,0.008197896256574199,1169,2473,19399,0.3442468767745599
3,full_period,T+4,14,target_14pct,19394,1031,0.05316077137258946,0.050090744488160366,0.056407784709026194,0.007442507992162525,1169,2473,19399,0.3442468767745599
3,full_period,T+4,15,target_15pct,19394,873,0.045013921831494275,0.04218486573651368,0.04802319122586506,0.006752088274724141,1169,2473,19399,0.3442468767745599
3,full_period,T+4,16,target_16pct,19394,752,0.03877487882850366,0.03614782672107929,0.04158461542856689,0.006203980612560586,1169,2473,19399,0.3442468767745599
3,full_period,T+4,17,target_17pct,19394,629,0.03243271114777766,0.030030651657161733,0.035019967170450514,0.005513560895122203,1169,2473,19399,0.3442468767745599
3,full_period,T+4,18,target_18pct,19394,545,0.028101474682891616,0.02586735005630887,0.03052251138064605,0.00505826544292049,1169,2473,19399,0.3442468767745599
3,full_period,T+4,19,target_19pct,19394,469,0.024182736928947096,0.02211311212265258,0.026440825960850484,0.004594720016499948,1169,2473,19399,0.3442468767745599
3,full_period,T+4,20,target_20pct,19394,390,0.020109312158399506,0.018226612747471442,0.022182089218627715,0.004021862431679901,1169,2473,19399,0.3442468767745599
3,full_period,T+5,1,target_1pct,19394,14429,0.743992987521914,0.7378027605807018,0.7500865724263273,0.00743992987521914,1169,2473,19399,0.3442468767745599
3,full_period,T+5,2,target_2pct,19394,12229,0.6305558420129938,0.6237376577241934,0.6373223150513345,0.012611116840259876,1169,2473,19399,0.3442468767745599
3,full_period,T+5,3,target_3pct,19394,10156,0.5236671135402702,0.5166339305169534,0.5306909223677099,0.015710013406208104,1169,2473,19399,0.3442468767745599
3,full_period,T+5,4,target_4pct,19394,8347,0.4303908425286171,0.42343675538195263,0.43737250083962614,0.017215633701144685,1169,2473,19399,0.3442468767745599
3,full_period,T+5,5,target_5pct,19394,6859,0.35366608229349283,0.34696671264935314,0.3604234126520103,0.01768330411467464,1169,2473,19399,0.3442468767745599
3,full_period,T+5,6,target_6pct,19394,5614,0.2894709704032175,0.2831302929821224,0.29589503527914157,0.01736825822419305,1169,2473,19399,0.3442468767745599
3,full_period,T+5,7,target_7pct,19394,4629,0.23868206661854183,0.23273468624259602,0.24473295118774574,0.01670774466329793,1169,2473,19399,0.3442468767745599
3,full_period,T+5,8,target_8pct,19394,3850,0.1985150046406105,0.1929610231593877,0.20418839989807247,0.015881200371248842,1169,2473,19399,0.3442468767745599
3,full_period,T+5,9,target_9pct,19394,3203,0.1651541713932144,0.15999457125643332,0.17044639904203535,0.014863875425389295,1169,2473,19399,0.3442468767745599
3,full_period,T+5,10,target_10pct,19394,2655,0.1368980096937197,0.13213201841384253,0.14180782033605221,0.013689800969371972,1169,2473,19399,0.3442468767745599
3,full_period,T+5,11,target_11pct,19394,2219,0.11441682994740641,0.11001294348936722,0.11897344023283,0.012585851294214705,1169,2473,19399,0.3442468767745599
3,full_period,T+5,12,target_12pct,19394,1872,0.09652469836031763,0.0924480154986829,0.10076119185972755,0.011582963803238115,1169,2473,19399,0.3442468767745599
3,full_period,T+5,13,target_13pct,19394,1573,0.08110755903887801,0.07734775463150809,0.08503328058634832,0.010543982675054141,1169,2473,19399,0.3442468767745599
3,full_period,T+5,14,target_14pct,19394,1311,0.06759822625554295,0.06414978253369004,0.07121793796568757,0.009463751675776013,1169,2473,19399,0.3442468767745599
3,full_period,T+5,15,target_15pct,19394,1093,0.056357636382386306,0.053198972898764754,0.059692020086764115,0.008453645457357946,1169,2473,19399,0.3442468767745599
3,full_period,T+5,16,target_16pct,19394,938,0.04836547385789419,0.045434459571893474,0.05147537394277962,0.007738475817263071,1169,2473,19399,0.3442468767745599
3,full_period,T+5,17,target_17pct,19394,815,0.04202330617716819,0.03928895673373588,0.04493905345890328,0.0071439620501185935,1169,2473,19399,0.3442468767745599
3,full_period,T+5,18,target_18pct,19394,711,0.036660822934928325,0.03410633099507886,0.03939883671388934,0.006598948128287098,1169,2473,19399,0.3442468767745599
3,full_period,T+5,19,target_19pct,19394,622,0.032071774775703825,0.029683222927936567,0.0346456661171209,0.006093637207383727,1169,2473,19399,0.3442468767745599
